#Interface RMSD
complex_189w.pdb 3.529
complex_86w.pdb 3.559
complex_171w.pdb 3.562
complex_92w.pdb 3.583
complex_196w.pdb 3.586
complex_59w.pdb 3.602
complex_190w.pdb 3.607
complex_140w.pdb 3.612
complex_94w.pdb 3.614
complex_192w.pdb 3.616
complex_98w.pdb 3.617
complex_139w.pdb 3.639
complex_174w.pdb 3.645
complex_67w.pdb 3.651
complex_84w.pdb 3.665
complex_77w.pdb 3.668
complex_175w.pdb 3.686
complex_104w.pdb 3.689
complex_126w.pdb 3.696
complex_78w.pdb 3.714
complex_135w.pdb 3.720
complex_11w.pdb 3.729
complex_173w.pdb 3.744
complex_162w.pdb 3.747
complex_121w.pdb 3.765
complex_180w.pdb 3.779
complex_99w.pdb 3.782
complex_107w.pdb 3.794
complex_150w.pdb 3.831
complex_187w.pdb 3.831
complex_142w.pdb 3.838
complex_100w.pdb 3.841
complex_181w.pdb 3.852
complex_116w.pdb 3.862
complex_176w.pdb 3.890
complex_35w.pdb 3.893
complex_161w.pdb 3.926
complex_177w.pdb 3.934
complex_145w.pdb 3.966
complex_147w.pdb 4.031
complex_149w.pdb 4.173
complex_194w.pdb 4.177
complex_106w.pdb 4.207
complex_148w.pdb 4.211
complex_103w.pdb 4.284
complex_193w.pdb 4.291
complex_153w.pdb 4.336
complex_117w.pdb 4.423
complex_66w.pdb 4.428
complex_80w.pdb 4.460
complex_182w.pdb 4.463
complex_25w.pdb 4.527
complex_110w.pdb 4.654
complex_39w.pdb 4.711
complex_21w.pdb 4.757
complex_31w.pdb 4.881
complex_91w.pdb 4.886
complex_20w.pdb 4.906
complex_184w.pdb 4.915
complex_41w.pdb 4.947
complex_152w.pdb 4.955
complex_95w.pdb 4.959
complex_10w.pdb 4.961
complex_54w.pdb 4.992
complex_160w.pdb 5.024
complex_58w.pdb 5.047
complex_63w.pdb 5.059
complex_134w.pdb 5.116
complex_56w.pdb 5.130
complex_90w.pdb 5.313
complex_115w.pdb 5.322
complex_85w.pdb 5.337
complex_52w.pdb 5.405
complex_9w.pdb 5.449
complex_8w.pdb 5.546
complex_34w.pdb 5.587
complex_15w.pdb 5.769
complex_165w.pdb 5.774
complex_24w.pdb 6.105
complex_14w.pdb 6.384
complex_7w.pdb 6.401
complex_118w.pdb 6.701
complex_133w.pdb 6.705
