,Structure,HADDOCK_Score,Evdw,Eelec,Edesolv,Total_Energy,Run_Name,Run_ID
464,complex_42w.pdb,-44.2185,-15.5125,-256.36,5.96615,-265.90635,Terminal Fold2,668631-terminal_fold2
465,complex_55w.pdb,-20.716,-8.91818,-234.486,5.63408,-237.77009999999999,Terminal Fold2,668631-terminal_fold2
466,complex_64w.pdb,-53.7501,-13.4118,-263.774,4.23719,-272.94861,Terminal Fold2,668631-terminal_fold2
467,complex_104w.pdb,-31.3916,-12.6753,-243.393,6.51475,-249.55355000000003,Terminal Fold2,668631-terminal_fold2
468,complex_99w.pdb,-36.7566,-2.39968,-322.826,4.95932,-320.26636,Terminal Fold2,668631-terminal_fold2
469,complex_189w.pdb,-43.296,-11.551,-196.487,5.95902,-202.07897999999997,Terminal Fold2,668631-terminal_fold2
470,complex_181w.pdb,-51.6045,-7.52701,-185.828,4.32603,-189.02898,Terminal Fold2,668631-terminal_fold2
471,complex_129w.pdb,-51.1303,-14.9841,-387.399,5.0187,-397.3644,Terminal Fold2,668631-terminal_fold2
472,complex_146w.pdb,-56.4036,-16.3011,-176.632,2.5381,-190.39499999999998,Terminal Fold2,668631-terminal_fold2
473,complex_122w.pdb,-52.2369,-15.5524,-354.788,4.89193,-365.44847,Terminal Fold2,668631-terminal_fold2
474,complex_87w.pdb,-60.8282,-16.3099,-223.044,4.51065,-234.84325,Terminal Fold2,668631-terminal_fold2
475,complex_107w.pdb,-44.7564,-11.2665,-219.54,5.06914,-225.73736,Terminal Fold2,668631-terminal_fold2
476,complex_128w.pdb,-68.0035,-12.1518,-535.619,5.03419,-542.73661,Terminal Fold2,668631-terminal_fold2
477,complex_178w.pdb,-51.4426,-8.88647,-442.199,4.50104,-446.58443,Terminal Fold2,668631-terminal_fold2
478,complex_133w.pdb,-45.8842,-4.69432,-195.046,3.47594,-196.26438,Terminal Fold2,668631-terminal_fold2
479,complex_154w.pdb,-56.146,-12.6408,-223.189,4.66411,-231.16569,Terminal Fold2,668631-terminal_fold2
480,complex_130w.pdb,-57.1608,-13.4088,-512.213,4.82495,-520.7968500000001,Terminal Fold2,668631-terminal_fold2
